12	25	50	52	59	18
10	25	26	47	69	8
14	36	48	50	63	16
21	33	39	54	57	16
12	15	51	58	67	12
13	44	54	62	69	14
29	32	41	45	69	10
7	28	36	44	60	18
9	20	27	51	52	8
15	18	27	30	42	26
6	24	26	28	43	5
41	47	59	61	63	16
3	13	22	42	55	17
41	42	64	65	69	3
2	9	38	39	46	15
3	4	6	46	55	1
15	19	39	60	68	21
15	21	34	37	40	9
44	48	52	54	64	3
29	34	41	51	68	16
28	50	55	57	61	6
10	21	42	45	69	22
15	33	47	59	63	22
16	18	51	52	57	26
6	15	21	28	32	10
9	10	27	33	64	7
7	31	45	62	67	5
9	22	49	60	69	5
7	10	14	17	37	10
11	30	32	46	66	19
2	30	33	35	41	4
15	20	24	40	54	10
9	10	50	60	68	3
30	36	55	56	61	15
4	5	6	17	58	18
9	15	19	31	63	14
4	5	30	37	52	15
13	29	43	47	57	10
8	12	36	38	65	23
6	8	9	18	43	9
2	7	28	35	57	7
2	16	47	50	53	6
6	22	34	37	61	25
16	20	35	48	65	5
5	48	50	56	59	21
29	40	45	63	69	10
3	11	40	42	57	5
2	8	21	30	69	18
25	29	43	54	62	3
2	3	25	34	67	2
10	22	50	58	61	17
14	18	36	49	51	19
12	32	57	58	67	21
3	7	11	34	59	25
3	16	22	42	43	21
37	38	53	58	62	20
16	19	24	52	62	16
13	15	19	21	48	19
7	33	44	47	61	16
4	31	36	58	67	14
2	23	48	49	50	26
19	28	65	67	69	7
4	27	39	45	50	5
27	29	31	47	56	8
17	33	35	37	43	14
1	19	23	67	69	7
22	32	36	40	66	23
9	23	25	34	62	12
23	49	51	63	68	1
2	11	27	51	66	24
9	13	27	37	46	13
23	27	42	43	55	12
5	37	41	46	68	25
34	35	37	51	60	16
13	30	35	45	51	21
1	9	30	33	60	17
2	17	35	47	49	3
25	29	30	32	66	20
8	34	59	63	64	2
3	35	52	53	66	9
5	6	28	42	44	6
17	28	31	40	64	20
25	35	36	53	62	2
39	45	48	50	56	18
3	19	29	41	67	11
2	18	32	41	51	9
4	22	32	48	64	12
20	28	41	45	57	9
15	27	30	45	63	20
2	28	30	38	66	21
25	38	50	59	60	18
18	30	41	43	67	3
18	20	26	35	68	24
14	15	31	54	56	19
20	35	51	59	65	23
7	22	35	47	66	2
9	25	31	54	58	16
6	9	24	25	59	25
14	29	57	59	66	16
17	27	48	49	67	18
8	14	36	51	65	18
11	12	16	37	44	16
2	30	37	46	60	12
21	23	32	52	57	9
34	37	41	43	68	1
12	33	48	54	69	23
21	38	46	47	61	1
9	10	13	14	51	15
7	11	13	25	65	14
24	25	36	61	67	26
3	13	18	33	68	20
4	26	29	43	45	9
12	18	19	42	57	9
21	44	48	55	57	8
18	23	25	59	63	14
2	33	39	52	69	1
16	18	34	37	47	12
8	31	55	61	65	13
3	5	9	56	58	7
26	38	52	58	69	17
8	13	31	44	65	1
13	18	51	55	60	5
3	7	19	30	51	2
39	42	43	59	62	16
1	36	38	51	65	8
5	23	27	51	58	7
23	25	30	61	65	23
9	16	39	51	56	13
8	17	43	52	62	5
12	17	19	42	49	11
3	4	31	33	60	8
9	21	31	35	39	20
18	19	22	31	57	10
11	21	43	59	66	9
10	20	37	39	52	22
13	30	36	41	61	15
1	2	28	40	45	12
8	15	29	47	52	15
10	22	34	54	68	7
13	20	66	68	69	26
3	5	37	38	40	3
13	26	46	48	67	8
43	53	58	63	67	22
1	30	42	63	66	5
2	14	29	50	51	5
21	23	30	49	56	15
13	40	45	50	52	26
5	20	28	40	67	5
7	48	58	59	63	4
4	26	28	43	49	10
8	31	34	45	47	3
15	21	44	53	68	16
29	33	44	45	63	4
30	31	37	40	53	24
34	46	57	66	67	14
1	15	28	30	31	25
10	27	42	45	56	11
14	23	45	47	68	24
5	14	33	42	66	17
4	14	16	18	21	26
28	37	43	53	55	2
1	20	25	27	41	4
15	22	23	28	51	13
1	49	60	67	64	9
1	2	6	28	65	4
3	8	11	27	36	4
3	17	26	48	60	10
9	14	24	32	39	6
7	10	13	30	40	24
18	23	42	49	65	22
14	24	63	67	68	4
31	45	54	62	66	20
7	28	36	39	68	5
3	17	42	58	68	1
16	17	37	41	47	20
12	19	33	36	48	20
10	16	24	42	64	17
22	27	33	60	62	15
13	16	17	55	65	10
30	36	38	40	41	3
7	29	47	48	69	13
11	19	49	56	63	14
6	21	25	58	69	7
34	38	53	56	59	17
5	15	42	53	54	23
14	27	39	45	49	23
29	43	45	53	58	11
7	31	41	62	66	4
7	9	15	62	68	12
11	15	20	50	65	14
32	33	37	46	63	26
18	41	49	53	56	17
5	18	26	64	68	11
10	15	17	33	36	11
5	28	36	46	49	7
3	16	20	30	53	21
26	56	61	62	65	16
22	23	24	30	42	5
3	22	35	40	56	14
